title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
Analysis of emergent fault element behavior in Virtual California,"MT Glasscoe, RA Granat, JB Rundle, PB Rundle, A Donnellan, LH Kellogg",Concurrency and Computation: Practice and Experience,"22 (12), 1665-1683",2,2010,4.71326E+18,dhFuZR0502QC,"MT Glasscoe, RA Granat, JB Rundle, PB Rundle, A Donnellan, ...",2010
"Analysis of LIDAR Data during Rapid Scientific Response to the January 12, 2010 Haiti Earthquake","ES Cowgill, TS Bernardin, ME Oskin, C Bowles, MB Yikilmaz, O Kreylos, AJ Elliott, MS Bishop, LH Kellogg",,2010 GSA Denver Annual Meeting,1,2010,5.21255E+18,hMod-77fHWUC,"E COWGILL, TS BERNARDIN, ME OSKIN, C BOWLES, MB YıKıLMAZ, ...",2010
"Art-Science-Technology collaboration through immersive, interactive 3D visualization",LH Kellogg,AGU Fall Meeting Abstracts,,0,2014,NA,0KyAp5RtaNEC,LH Kellogg,2014
ASPECT: Hackathons as an example of sustaining an open source community,"LJ Hwang, W Bangerth, T Heister, LH Kellogg",Workshop on Sustainable Software for Science: Practice and Experiences,,2,2016,2.38668E+18,8d8msizDQcsC,"L Hwang, W Bangerth, T Heister, L Kellogg, G Allen, J Carve, SCT Choi, ...",2016
Augmented reality turns a sandbox into a geoscience lesson,"S Reed., S Hsi, O Kreylos, MB Yikilmaz, LH Kellogg, SG Schladow, H Segale, L Chan",EOS,"97, 18 - 22",7,2016,1.66625E+19,L7CI7m0gUJcC,"LC Reed, S., S. Hsi, O. Kreylos, M. B. Yikilmaz, L. H. Kellogg, S. G ...",2016
Automated Testing Infrastructure and Result Comparison for Geodynamics Codes,"EM Heien, LH Kellogg",AGU Fall Meeting Abstracts,,0,2013,NA,PR6Y55bgFSsC,"EM Heien, LH Kellogg",2013
Bending and flexure of brittle materials through damage: A model for folding in the elastico-frictional domain,"DM Manaker, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2006,NA,4JMBOYKVnBMC,"DM Manaker, DL Turcotte, LH Kellogg",2006
"Birth of a fault: connecting the Kern County and Walker Pass, California, earthquakes","GW Bawden, AJ Michael, LH Kellogg",Geology,"27 (7), 601-604",17,1999,1.01758E+19,3fE2CSJIrl8C,"GW Bawden, AJ Michael, LH Kellogg",1999
Blending Art and Science to Create Collapse (suddenly falling down),"M Neff, DY Sumner, GW Bawden, E Bromberg, D Davidson, S Gilbride, LH Kellogg, O Kreylos",Leonardo,"43 (2), 204-204",1,2010,4.983E+17,9ZlFYXVOiuMC,"M Neff, DY Sumner, GW Bawden, E Bromberg, D Davidson, S Gilbride, ...",2010
Can large increases in viscosity and thermal conductivity preserve large-scale heterogeneity in the mantle?,"JB Naliboff, LH Kellogg",Physics of the Earth and Planetary Interiors,"161 (1-2), 86-102",20,2007,8.16428E+18,ULOm3_A8WrAC,"JB Naliboff, LH Kellogg",2007
Chaotic mantle mixing and chemical geodynamics.,LH Kellogg,,,0,1989,NA,RYcK_YlVTxYC,LH Kellogg,1989
Chaotic mixing in the Earth's mantle,LH Kellogg,Advances in geophysics,"34, 1-33",9,1993,6.96231E+18,_kc_bZDykSQC,LH Kellogg,1993
