title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
Implications of isotope data for the origin of the Moon,"DL Turcotte, LH Kellogg",Origin of the Moon,311-329,14,1986,3.78405E+18,kNdYIx-mwKoC,"DL Turcotte, LH Kellogg",1986
Improving Particle Integration Efficiency in Mantle Convection Simulation by Combining Numerical Integration Techniques,"EM Javan, EH Studley, EM Heien, LH Kellogg",AGU Fall Meeting Abstracts,,0,2012,NA,uLbwQdceFCQC,"EM Javan, EH Studley, EM Heien, LH Kellogg",2012
Integrating NASA Space Geodetic Observations with Numerical Simulations of a Changing Earth,"JB Rundle, LH Kellogg, KF Tiampo, W Klein, PB Rundle",,,0,NA,NA,bEWYMUwI8FkC,"JB Rundle, LH Kellogg, KF Tiampo, W Klein, PB Rundle",2002
Interaction of plumes with a compositional boundary at 670 km,LH Kellogg,Geophysical Research Letters,"18 (5), 865-868",42,1991,6.21101E+18,WF5omc3nYNoC,LH Kellogg,1991
Interactive 3D Visualization of the Great Lakes of the World (GLOW) as a Tool to Facilitate Informal Science Education,"MB Yikilmaz, CL Harwood, S Hsi, LH Kellogg, O Kreylos, J McDermott, B Pellett, SG Schladow, HM Segale, S Yalowitz",AGU Fall Meeting Abstracts,,0,2013,NA,hkOj_22Ku90C,"M Yikilmaz, CL Harwood, S Hsi, LH Kellogg, O Kreylos, J McDermott, ...",2013
Interactive editing of digital fault models,"J Van Aalsburg, MB Yikilmaz, O Kreylos, LH Kellogg, JB Rundle",Concurrency and Computation: Practice and Experience,"22 (12), 1720-1731",5,2010,9.98297E+17,aqlVkmm33-oC,"J Van Aalsburg, MB Yikilmaz, O Kreylos, LH Kellogg, JB Rundle",2010
INTERACTIVE IMMERSIVE VISUALIZATION OF GEOSCIENCE DATA,"O Kreylos, GW Bawden, MI Billen, ES Cowgill, B Hamann, MA Jadamec, LH Kellogg, OG Staadt, DY Sumner",,,0,2007,NA,TQgYirikUcIC,"O KREYLOS, GW BAWDEN, MI BILLEN, E COWGILL, B HAMANN, ...",2007
Interactive terrain visualization enables virtual field work during rapid scientific response to the 2010 Haiti earthquake,"ES Cowgill, TS Bernardin, ME Oskin, C Bowles, MB Yikilmaz, O Kreylos, AJ Elliott, S Bishop, RD Gold, A Morelan, GW Bawden, B Hamann, LH Kellogg",Geosphere,"8 (4), 787-804",26,2012,6.12051E+18,geHnlv5EZngC,"E Cowgill, TS Bernardin, ME Oskin, C Bowles, MB Yıkılmaz, O Kreylos, ...",2012
Interactive visualization to advance earthquake simulation,"LH Kellogg, GW Bawden, T Bernardin, MI Billen, ES Cowgill, B Hamann, MA Jadamec, O Kreylos, O Staadt, DY Sumner",Pure and Applied Geophysics,"165 (3-4), 621-633",20,2008,5.89776E+18,4TOpqqG69KYC,"LH Kellogg, GW Bawden, T Bernardin, M Billen, E Cowgill, B Hamann, ...",2008
Interpolating sparse scattered data using flow information,"GJ Streletz, G Gebbie, O Kreylos, B Hamann, LH Kellogg, HJ Spero",Journal of computational science,"16, 156-169",1,2016,1.57481E+19,4MWp96NkSFoC,"GJ Streletz, G Gebbie, O Kreylos, B Hamann, LH Kellogg, HJ Spero",2016
Interpolating Sparse Scattered Oceanographic Data Using Flow Information,"GJ Streletz, G Gebbie, HJ Spero, O Kreylos, LH Kellogg, B Hamann","AGU Fall Meeting Abstracts, page A",1576,1,2012,1.80994E+19,kzcrU_BdoSEC,"GJ Streletz, G Gebbie, HJ Spero, O Kreylos, LH Kellogg, B Hamann",2012
Introducing critical observation skills using NASA's Mars exploration program in a small introductory class,"LH Kellogg, RA Zierenberg",Journal of Geoscience Education,"55 (5), 396-401",2,2007,1.75783E+18,_Re3VWB3Y0AC,"LH Kellogg, RA Zierenberg",2007
Isotopic consequences of chaotic mantle mixing,"DL Turcotte, LH Kellogg",Chemical Geology,"70, 57",1,1988,1.6247E+19,CHSYGLWDkRkC,"DL Turcotte, LH Kellogg",1988
Isotopic modeling of the evolution of the mantle and crust,"DL Turcotte, LH Kellogg",Reviews of Geophysics,"24 (2), 311-328",33,1986,1.5083E+19,_FxGoFyzp5QC,"DL Turcotte, LH Kellogg",1986
KECKCAVES: ENABLING INTERACTIVE VISUAL EXPLORATION IN VIRTUAL REALITY FOR THE GEOSCIENCES,"LH Kellogg, T Bernardin, MI Billen, ES Cowgill, J Crutchfield, AJ Elliott, B Hamann, CL Harwood, O Kreylos, DY Sumner",,2011 GSA Annual Meeting in Minneapolis,0,2011,NA,EUQCXRtRnyEC,"LH KELLOGG, T BERNARDIN, MI BILLEN, E COWGILL, ...",2011
Laboratory Experiments to Unravel Inner Secrets of Continents,"TL Grove, JI Lunine, NJ Fox, SD Rudlosky, DJM Schertzer, PA Fox, JM Balbus, K Hayhoe, RB Alley, JS Famiglietti, KM Larson, LH Kellogg, RS Stein, C Carona, H Steltzer, HM Haney, E Valdez-Ward, S Saha, SM Som, TC Osborne",AGU Fall Meeting Abstracts,,0,2018,NA,mlAyqtXpCwEC,"TL Grove, JI Lunine, NJ Fox, SD Rudlosky, DJM Schertzer, PA Fox, ...",2018
LAKEVIZ: 3D VISUALIZATION OF LAKE ENVIRONMENTS TO IMPROVE LEARNING IN INFORMAL SCIENCE SETTINGS,"CL Harwood, P Gold, LH Kellogg, O Kreylos, SG Schladow, H Segale, S Yalowitz, MB Yikilmaz",,2012 GSA Annual Meeting in Charlotte,0,2012,NA,5Ul4iDaHHb8C,"CL HARWOOD, P GOLD, LH KELLOGG, O KREYLOS, SG SCHLADOW, ...",2012
Lighting Talk-ASPECT: Hackathons as an Example of Sustaining an Open Source Community,"LJ Hwang, W Bangerth, T Heister, LH Kellogg",CEUR Workshop Proceedings,1686,0,2016,NA,YohjEiUPhakC,"LJ Hwang, W Bangerth, T Heister, L Kellogg",2016
Mantle convection benchmarking in a 3D spherical shell: on the transitional behavior of polyhedral pattern formations,"PA Arrial, N Flyer, GB Wright, LH Kellogg",AGU Fall Meeting Abstracts,,0,2013,NA,ye4kPcJQO24C,"P Arrial, N Flyer, GB Wright, LH Kellogg",2013
Mantle Convection Simulations using the Hybridized Discontinuous Galerkin Method,"RK Kommu, EG Puckett, EM Heien, LH Kellogg",AGU Fall Meeting Abstracts,,0,2014,NA,9Nmd_mFXekcC,"RK Kommu, EG Puckett, EM Heien, LH Kellogg",2014
Mantle Heterogeneity: Length Scales and Correlations,"JG Konter, J Kellogg, SR Hart, LH Kellogg, BA Romanowicz, TW Becker",AGU Fall Meeting Abstracts,,0,2009,NA,b0M2c_1WBrUC,"JG Konter, J Kellogg, SR Hart, LH Kellogg, BA Romanowicz, TW Becker",2009
Mantle mixing and the origin and persistence of geochemical reservoirs,"LH Kellogg, CS Natarajan, DL Turcotte",Geochimica et Cosmochimica Acta Supplement,"72, A461",1,2008,1.08649E+19,IWHjjKOFINEC,"LH Kellogg, CS Natarajan, DL Turcotte",2008
Mantle mixing in 3D: Using strain markers to model persistence and scales of heterogeneity,"LH Kellogg, CS Natarajan, DL Turcotte",Geochimica et Cosmochimica Acta Supplement,"73, A636",0,2009,NA,vV6vV6tmYwMC,"LH Kellogg, CS Natarajan, DL Turcotte",2009
Mantle mixing revisited: The influence of viscosity and implications for chemical geodynamics,"LH Kellogg, DL Turcotte",AGU Fall Meeting Abstracts,,0,2007,NA,j3f4tGmQtD8C,"LH Kellogg, DL Turcotte",2007
"Mantle mixing, lateral transport, and isotopic heterogeneity at the subplate scale","MA McLay, LH Kellogg",AGU Fall Meeting Abstracts,,0,2002,NA,NhqRSupF_l8C,"MA McLay, LH Kellogg",2002
Mapping the core-mantle boundary,LH Kellogg,Science,"277 (5326), 646-646",1,1997,1.78397E+19,OU6Ihb5iCvQC,LH Kellogg,1997
"Mapping the El Mayor-Cucapah Earthquake Rupture Using Crusta, a New Virtual Globe for Remote Field Studies","TS Bernardin, PO Gold, AJ Elliott, ME Oskin, ES Cowgill, O Kreylos, B Hermann, LH Kellogg",AGU Fall Meeting Abstracts,,0,2010,NA,uWQEDVKXjbEC,"TS Bernardin, PO Gold, AJ Elliott, ME Oskin, E Cowgill, O Kreylos, ...",2010
Mixing and the distribution of heterogeneities in a chaotically convecting mantle,"LH Kellogg, DL Turcotte",Journal of Geophysical Research: Solid Earth,"95 (B1), 421-432",116,1990,1.47041E+19,UeHWp8X0CEIC,"LH Kellogg, DL Turcotte",1990
Mixing by chaotic convection in an infinite Prandtl number fluid and implications for mantle convection,"LH Kellogg, CA Stewart",Physics of Fluids A: Fluid Dynamics,"3 (5), 1374-1378",20,1991,1.68453E+18,MXK_kJrjxJIC,"LH Kellogg, CA Stewart",1991
Mixing by thermal convection in a spherical shell and the persistence of mantle reservoirs,"LH Kellogg, EM Heien",AGU Fall Meeting Abstracts,,0,2013,NA,ZuybSZzF8UAC,"LH Kellogg, EM Heien",2013
Mixing in a convecting viscous fluid: Applications to the Earth's mantle,"JB Naliboff, LH Kellogg",,3rd MIT Conference on Computational Fluid and Solid Mechanics,0,2005,NA,kh2fBNsKQNwC,"JB Naliboff, LH Kellogg",2005
Mixing in the mantle,LH Kellogg,Annual Review of Earth and Planetary Sciences,"20 (1), 365-388",36,1992,1.37266E+19,ufrVoPGSRksC,LH Kellogg,1992
Modeling the early evolution of Vesta,"M Weisfeiler, DL Turcotte, LH Kellogg",Meteoritics & Planetary Science,"52 (5), 859-868",2,2017,2.29444E+18,#NAME?,"M Weisfeiler, DL Turcotte, LH Kellogg",2017
"Monitoring Earthquake Fault Slip from Space: Model Implications for a High Precision, High Resolution Dedicated Gravity Mission","JB Rundle, MK Sachs, KF Tiampo, J Fernandez, DL Turcotte, A Donnellan, EM Heien, LH Kellogg",AGU Fall Meeting Abstracts,,0,2013,NA,N5tVd3kTz84C,"JB Rundle, MK Sachs, KF Tiampo, J Fernandez, DL Turcotte, A Donnellan, ...",2013
Moving lithospheric modeling forward: Attributes of a community computer code,"CM Cooper, E Mittelstaedt, CA Currie, J Van Wijk, LH Kellogg, LJ Hwang,  R Arrowsmith",GSA Today,"25 (6), 42-43",0,2015,NA,LI9QrySNdTsC,"CM Cooper, E Mittelstaedt, CA Currie, J Van Wijk, LH Kellogg, L Hwang, ...",2015
"New Approaches to Data Collection and Analysis Using Virtual-Reality Based Data Visualization Tools 3D Visualizer, Crusta, and Lidar Viewer at Keckcaves","AM Forte, ES Cowgill, LH Kellogg, ME Oskin, O Kreylos, T Bernardin, MI Billen, P Gold, MA Jadamec, T Mackey, E Steven, DY Sumner",,,0,NA,NA,tKAzc9rXhukC,"AM Forte, E Cowgill, LH Kellogg, M Oskin, O Kreylos, T Bernardin, ...",2014
New frontiers in fault model visualization and interaction,"J Van Aalsburg, MB Yikilmaz, O Kreylos, LH Kellogg, JB Rundle",AGU Fall Meeting Abstracts,,2,2009,1.82859E+19,hC7cP41nSMkC,"J Van Aalsburg, MB Yikilmaz, O Kreylos, LH Kellogg, JB Rundle",2009
New numerical approaches for modeling thermochemical convection in a compositionally stratified fluid,"EG Puckett, DL Turcotte, Y He, HV Lokavarapu, JM Robey, LH Kellogg",Physics of the Earth and Planetary Interiors,"276, 10-35",3,2018,1.78442E+19,WZBGuue-350C,"EG Puckett, DL Turcotte, Y He, H Lokavarapu, JM Robey, LH Kellogg",2018
New Numerical Approaches To thermal Convection In A Compositionally Stratified Fluid,"EG Puckett, DL Turcotte, LH Kellogg, HV Lokavarapu, Y He, JM Robey",AGU Fall Meeting Abstracts,,0,2016,NA,HbR8gkJAVGIC,"EG Puckett, DL Turcotte, LH Kellogg, HV Lokavarapu, Y He, J Robey",2016
New visualization techniques to analyze ultra-high resolution four-dimensional surface deformation imagery collected with ground-based tripod LiDAR,"O Kreylos, GW Bawden, LH Kellogg",AGU Fall Meeting Abstracts,,2,2005,2.23459E+18,4DMP91E08xMC,"O Kreylos, GW Bawden, LH Kellogg",2005
New Visualization Techniques to Analyze Ultra-High Resolution Three-and Four-Dimensional Airborne and Tripod LiDAR Point-Cloud Data,"O Kreylos, GW Bawden, LH Kellogg",AGU Fall Meeting Abstracts,,3,2007,4.86152E+18,M3ejUd6NZC8C,"O Kreylos, GW Bawden, LH Kellogg",2007
Numerical modeling of chemically buoyant mantle plumes at spreading ridges,"MA Feighner, LH Kellogg, BJ Travis",Geophysical Research Letters,"22 (6), 715-718",49,1995,4.87471E+18,Tyk-4Ss8FVUC,"MA Feighner, LH Kellogg, BJ Travis",1995
"Numerical models of a dense layer at the base of the mantle and implications for the geodynamics of D""","NL Montague, LH Kellogg",Journal of Geophysical Research: Solid Earth,"105 (B5), 11101-11114",53,2000,1.79837E+19,zYLM7Y9cAGgC,"NL Montague, LH Kellogg",2000
Numerical models of thermo-chemical convection in the Earth's mantle,LH Kellogg,APS Meeting Abstracts,,0,1997,NA,RHpTSmoSYBkC,L Kellogg,1997
Numerical Simulations of Falling Sphere Viscometry Experiments.,"L O Dwyer, LH Kellogg, CE Lesher",AGU Fall Meeting Abstracts,,0,2007,NA,NaGl4SEjCO4C,"L O Dwyer, LH Kellogg, CE Lesher",2007
On the Instability of Classical Steady-State Solutions for Mantle Convection in 3D Spherical Shells,"N Flyer, GB Wright, PA Arrial, LH Kellogg",AGU Fall Meeting Abstracts,,0,2011,NA,B3FOqHPlNUQC,"N Flyer, GB Wright, P Arrial, LH Kellogg",2011
On the sensitivity of 3-D thermal convection codes to numerical discretization: a model intercomparison,"PA Arrial, N Flyer, GB Wright, LH Kellogg",,,4,2014,1.71747E+19,W5xh706n7nkC,"PA Arrial, N Flyer, GB Wright, LH Kellogg",2014
"OPEN-SOURCE VIRUTAL-REALITY BASED DATA VISUALIZATION TOOLS FOR RESEARCH AND TEACHING: 3D VISUALIZER, CRUSTA, AND LIDARVIEWER AT KECKCAVES","AM Forte, LH Kellogg, O Kreylos, MB Yikilmaz, ME Oskin, ES Cowgill, MI Billen, D Sumner, AJJ Elliot",,2013 GSA Annual Meeting in Denver,0,2013,NA,tkaPQYYpVKoC,"AM FORTE, LH KELLOGG, O KREYLOS, MB YIKILMAZ, M OSKIN, ...",2013
Optimizing Advection of Tracer Particles in Fluid Dynamic Processes with Variable Numerical Integration Methods,"EM Javan, EM Heien, LH Kellogg",AGU Fall Meeting Abstracts,,0,2013,NA,WqliGbK-hY8C,"EM Javan, EM Heien, LH Kellogg",2013
Papers on Geodesy and Gravity Tectonophysics-Quantifying mixing and age variations of heterogeneities in models of mantle convection: Role of depth-dependent viscosity (Paper …,"DL Hunt, LH Kellogg",Journal of Geophysical Research-Part B-Solid Earth,"106 (4), 6747-6760",0,2001,NA,XvxMoLDsR5gC,"DL Hunt, LH Kellogg",2001
Parallelization of the Virtual California earthquake simulator,"EM Heien, MB Yikilmaz, MK Sachs, JB Rundle, LH Kellogg, DL Turcotte",International Conference on Computational ScienceICCS,,1,2011,3.4995E+18,AvfA0Oy_GE0C,"EM Heien, MB Yikilmaz, MK Sachs, JB Rundle, KLH LouiseH, DL Turcotte",2011
Performance benchmarks for a next generation numerical dynamo model,"H Matsui, EM Heien, J Aubert, JM Aurnou, M Avery, B Brown, BA Buffett, F Busse, UR Christensen, CJ Davies, N Featherstone, T Gastine, GA Glatzmaier, D Gubbins, J-L Guermond, Y-Y Hayashi, R Hollerbach, LJ Hwang, A Jackson, CA Jones, W Jiang, LH Kellogg, W Kuang, M Landeau, P Marti, P Olson, A Ribeiro, Y Sasaki, N Schaeffer, RD Simitev, A Sheyko, L Silva, S Stanley, F Takahashi, S-I Takehiro, J Wicht, AP Willis","Geochemistry, Geophysics, Geosystems","17 (5), 1586-1607",34,2016,1.0825E+18,BUYA1_V_uYcC,"H Matsui, E Heien, J Aubert, JM Aurnou, M Avery, B Brown, BA Buffett, ...",2016
Point-based computing on scanned terrain with LidarViewer,"O Kreylos, ME Oskin, ES Cowgill, P Gold, A Elliott, LH Kellogg",Geosphere,"9 (3), 546-556",7,2013,9.60944E+18,AXPGKjj_ei8C,"O Kreylos, M Oskin, E Cowgill, P Gold, A Elliott, L Kellogg",2013
Post-Earthquake Geology in the ERA of Ubiquitous Point Clouds,"ME Oskin, R Arrowsmith, E Nissen, AE Morelan III, CC Trexler, PO Gold, AJ Elliott, CJ Crosby, LH Kellogg",AGU Fall Meeting Abstracts,,0,2015,NA,KUbvn5osdkgC,"ME Oskin, R Arrowsmith, E Nissen, AE Morelan III, CC Trexler, PO Gold, ...",2015
Pre-filtering of turbulent vector fields in the geodynamo,"P Ruediger, C Weber, H Matsui, EM Heien, LH Kellogg, B Hamann, H Hagen",,,0,NA,NA,BwyfMAYsbu0C,"P Rüdiger, C Weber, H Matsui, E Heien, LH Kellogg, B Hamann, H Hagen",2015
Preliminary Holocene History of Fault Slip for the Mojave Section of the San Andreas Fault,"T Compton, ES Cowgill, KM Scharer, RD Gold, R Westerteiger, T Bernardin, LH Kellogg",AGU Fall Meeting Abstracts,,0,2012,NA,_Ybze24A_UAC,"T Compton, E Cowgill, KM Scharer, RD Gold, R Westerteiger, ...",2012
Preliminary Results From SCEC Earthquake Simulator Comparison Project,"TE Tullis, M Barall, KB Richards-Dinger, SN Ward, EM Heien, O Zielke, F Politz, JH Dieterich, JB Rundle, MB Yikilmaz, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2010,NA,fPk4N6BV_jEC,"T Tullis, M Barall, KB Richards-Dinger, SN Ward, E Heien, O Zielke, ...",2010
Probing the lower mantle composition and thermal structure: Insights from D``,"SM Campbell, B Ko, AF Holt, C Gao, D Frost, H Karaoglu, H Lai, K Yuan, M Li, SH Shim, JCE Irving, LH Kellogg, MS Miller",AGU Fall Meeting Abstracts,,0,2016,NA,SpbeaW3--B0C,"SM Campbell, B Ko, AF Holt, C Gao, D Frost, H Karaoglu, H Lai, K Yuan, ...",2016
Quantifying mixing and age variations of heterogeneities in models of mantle convection: Role of depth‐dependent viscosity,"DL Hunt, LH Kellogg",Journal of Geophysical Research: Solid Earth,"106 (B4), 6747-6759",25,2001,7.57996E+18,5nxA0vEk-isC,"DL Hunt, LH Kellogg",2001
Quantifying Mixing and Scales of Heterogeneity in 2-D Numerical Models of Chaotic Mantle Mixing,"AC Harris, J Naliboff, J Prytulak, E Vanacore, KM Cooper, S Hart, LH Kellogg",AGU Fall Meeting Abstracts,,0,2006,NA,YFjsv_pBGBYC,"AC Harris, J Naliboff, J Prytulak, E Vanacore, KM Cooper, S Hart, ...",2006
Rapid Scientific Response as an Educational Opportunity Integrating Geoscience and Advanced Visualization,"ME Oskin, LH Kellogg, K Team",AGU Fall Meeting Abstracts,,0,2014,NA,t7zJ5fGR-2UC,"ME Oskin, LH Kellogg, K Team",2014
Report from the Hotspot Geodynamics Detailed Planning Group,"RA Duncan, T Hanyu, Y Harada, KS Harpp, K Hoernie, LH Kellogg, DV Kent, AAP Koppers, W Sager, B Steinberter, JA Tarduno, Y-G Xu",,,0,NA,NA,2KloaMYe4IUC,"R Duncan, Y Harada, K Harpp, L Kellogg, D Kent, W Sager, J Tarduno",2007
Scales of mantle heterogeneity,"JC Moore, S Akber, JG Konter, J Kellogg, S Hart, LH Kellogg, B Romanowicz",AGU Fall Meeting Abstracts,,1,2004,5.49461E+18,7PzlFSSx8tAC,"JC Moore, S Akber-Knutson, J Konter, J Kellogg, S Hart, LH Kellogg, ...",2004
Scales of mantle heterogeneity emerging from 3-D models of advective stretching,"LH Kellogg, NS Conjeepuram",AGU Fall Meeting Abstracts,,0,2009,NA,SP6oXDckpogC,"LH Kellogg, N Conjeepuram",2009
Scaling up Planetary Dynamo Modeling to Massively Parallel Computing Systems: The Rayleigh Code at ALCF,"NA Featherstone, JM Aurnou, RK Yadav, MH Heimpel, KM Soderlund, H Matsui, S Stanley, BP Brown, G Glatzmaier, P Olson, BA Buffet, LJ Hwang, LH Kellogg",AGU Fall Meeting Abstracts,,0,2017,NA,_FM0Bhl9EiAC,"NA Featherstone, JM Aurnou, RK Yadav, MH Heimpel, KM Soderlund, ...",2017
SCEC Earthquake Simulator Comparison Results for California,"TE Tullis, KB Richards-Dinger, M Barall, JH Dieterich, EH Field, EM Heien, LH Kellogg, FF Pollitz, JB Rundle, MK Sachs, DL Turcotte, SN Ward, MB Yikilmaz",AGU Fall Meeting Abstracts,,0,2011,NA,tOudhMTPpwUC,"TE Tullis, KB Richards-Dinger, M Barall, JH Dieterich, EH Field, EM Heien, ...",2011
"Seismic wave anisotropy in the D"" region and its implications","T Lay, Q Williams, EJ Garnero, LH Kellogg, ME Wysession",The core-mantle boundary region,"28, 299-318",120,1998,3.56877E+18,2osOgNQ5qMEC,"T Lay, Q Williams, EJ Garnero, L Kellogg, ME Wysession",1998
"Shaping watersheds exhibit: An interactive, augmented reality sandbox for advancing earth science education","SE Reed, O Kreylos, S Hsi, LH Kellogg, SG Schladow, MB Yikilmaz, H Segale, J Silverman, S Yalowitz, E Sato",AGU Fall Meeting Abstracts,,45,2014,9.45805E+18,uc_IGeMz5qoC,"SE Reed, O Kreylos, S Hsi, LH Kellogg, G Schladow, MB Yikilmaz, ...",2014
Simulating partial melting and chemical fractionation in mantle dynamics models,"S Ferrachat, LH Kellogg",GEOCHIMICA ET COSMOCHIMICA ACTA,"66 (15 A), A231-A231",0,2002,NA,eMMeJKvmdy0C,"S Ferrachat, LH Kellogg",2002
Simulating the San Andreas Plate Boundary System: Progress and Prospects,"PB Rundle, JB Rundle, G Yakovlev, J Fernandez, R Shcherbakov, DL Turcotte, A Donellan, N Field, LG Ludwig, KF Tiampo, J van Aalsburg, LH Kellogg",AGU Fall Meeting Abstracts,,0,2006,NA,NMxIlDl6LWMC,"PB Rundle, JB Rundle, G Yakovlev, J Fernandez, R Shcherbakov, ...",2006
Simulator Results for allcal2 Fault Model,"TE Tullis, KB Richards-Dinger, M Barall, JH Dieterich, EH Field, EM Heien,  LH Kellogg, F Pollitz, JB Rundle, M Sachs, D Turcotte, SN Ward, MB Yikilmaz",,,0,NA,NA,t6usbXjVLHcC,"TE Tullis, K Richards-Dinger, M Barall, JH Dieterich, EH Field, E Heien, ...",2012
Sinking mafic body in a reactivated lower crust: A mechanism for stress concentration at the New Madrid seismic zone,"FF Pollitz, LH Kellogg, R Burgmann",Bulletin of the Seismological Society of America,"91 (6), 1882-1897",72,2001,3.26798E+17,Y0pCki6q_DkC,"FF Pollitz, L Kellogg, R Bürgmann",2001
Slab Stagnation in the Lower Mantle: A Multidisciplinary Investigation,"L Waszek, K Arredondo, GJ Finkelstein, LH Kellogg, V Lekic, M Li, CR Lithgow-Bertelloni, BA Romanowicz, NC Schmerr, ML Rudolph, JP Townsend, Z Xing, E Yang",AGU Fall Meeting Abstracts,,0,2014,NA,z_wVstp3MssC,"L Waszek, K Arredondo, GJ Finkelstein, LH Kellogg, V Lekic, M Li, ...",2014
Software and the scientist: Coding and citation practices in geodynamics,"LJ Hwang, A Fish, L Soito, MK Smith, LH Kellogg",Earth and Space Science,"4 (11), 670-680",2,2017,4.5382E+18,hCrLmN-GePgC,"L Hwang, A Fish, L Soito, MK Smith, LH Kellogg",2017
Software Attribution for Geoscience Applications in the Computational Infrastructure for Geodynamics,"LJ Hwang, J Dumit, AE Fish, L Soito, LH Kellogg, MK Smith",AGU Fall Meeting Abstracts,,0,2015,NA,TIZ-Mc8IlK0C,"L Hwang, J Dumit, A Fish, L Soito, LH Kellogg, M Smith",2015
Statistical analysis of earthquake event correlations in Virtual California,"MT Glasscoe, RA Granat, JB Rundle, LH Kellogg, A Donnellan",AGU Fall Meeting Abstracts,,0,2008,NA,_Qo2XoVZTnwC,"MT Glasscoe, RA Granat, JB Rundle, LH Kellogg, A Donnellan",2008
"Statistical Properties of Induced and Triggered Earthquakes at The Geysers, California","AK Hawkins, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2015,NA,MLfJN-KU85MC,"AK Hawkins, DL Turcotte, LH Kellogg",2015
"Statistical studies of induced and triggered seismicity at The Geysers, California","AK Hawkins, DL Turcotte, MB Yikilmaz, LH Kellogg, JB Rundle","Earthquakes and Multi-hazards Around the Pacific Rim, Vol. I",249-262,3,2018,1.44568E+19,i2xiXl-TujoC,"A Hawkins, DL Turcotte, MB Yıkılmaz, LH Kellogg, JB Rundle",2018
Statistics of advective stretching in three-dimensional incompressible flows,"N Subramanian, LH Kellogg, DL Turcotte",Journal of Statistical Physics,"136 (5), 926-944",4,2009,8.34675E+17,HDshCWvjkbEC,"N Subramanian, LH Kellogg, DL Turcotte",2009
"Statistics of seismicity associated with a sequence of explosive eruptions at Kilauea, Hawaii","RA Fildes, LH Kellogg, DL Turcotte, JB Rundle",AGU Fall Meeting Abstracts,,0,2018,NA,OTTXONDVkokC,"RA Fildes, LH Kellogg, DL Turcotte, JB Rundle",2018
Strain partitioning across metropolitan Los Angeles,"A Donnellan, A Blythe, LH Kellogg, MT Glasscoe",ACES Cooperation for Earthquake Simulation,2nd ACES Workshop Proceedings …,1,2001,7.93268E+18,k_IJM867U9cC,"A Donnellan, A Blythe, L Kellogg, M Glasscoe",2001
Stress Relaxation and Failure in a Brittle Material Subjected to Damage,"DM Manaker, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2005,NA,f2IySw72cVMC,"DM Manaker, DL Turcotte, LH Kellogg",2005
Stretching of passive tracers and implications for mantle mixing,"NS Conjeepuram, LH Kellogg",AGU Fall Meeting Abstracts,,0,2007,NA,1sJd4Hv_s6UC,"N Conjeepuram, LH Kellogg",2007
Structure and dynamics of the deep mantle: An Earth odyssey,LH Kellogg,AGU Fall Meeting Abstracts,,0,2001,NA,r0BpntZqJG4C,LH Kellogg,2001
Studies of the South Napa Earthquake Aftershocks,"DL Turcotte, R Shcherbakov, MB Yikilmaz, LH Kellogg, JB Rundle",AGU Fall Meeting Abstracts,,1,2014,4.64566E+18,XD-gHx7UXLsC,"DL Turcotte, R Shcherbakov, MB Yikilmaz, LH Kellogg, JB Rundle",2014
Study of 3D visualization software for geo-science applications,"MI Billen, O Kreylos, LH Kellogg, B Hamann, O Staadt, DY Sumner, MA Jadamec",KeckCAVES Technical Report TR,R06–01,2,2006,1.21884E+19,Wp0gIr-vW9MC,"MI Billen, O Kreylos, LH Kellogg, B Hamann, O Staadt, DY Sumner, ...",2006
"Study of volcanic sources at Long Valley Caldera, California, using gravity data and a genetic algorithm inversion technique","M Charco, J Fernandez, K Tiampo, M Battaglia, LH Kellogg, J McClain, JB Rundle",Geodetic and Geophysical Effects Associated with Seismic and Volcanic …,,8,2004,4.90383E+18,YOwf2qJgpHMC,"M Charco, J Fernandez, K Tiampo, M Battaglia, L Kellogg, J McClain, ...",2004
"Subducted, detached, and torn slabs beneath the Greater Caucasus","T Mumladze, AM Forte, ES Cowgill, CC Trexler, NA Niemi, MB Yikilmaz, LH Kellogg",GeoResJ,"5, 36-46",26,2015,8.63337E+17,tzM49s52ZIMC,"T Mumladze, AM Forte, ES Cowgill, CC Trexler, NA Niemi, MB Yıkılmaz, ...",2015
"Subducted, detached, and torn slabs during early orogeny: evidence from deep earthquakes under the Greater Caucasus","T Mumladze, AM Forte, ES Cowgill, C Trexler, NA Niemi, LH Kellogg, MB Yikilmaz",AGU Fall Meeting Abstracts,,0,2013,NA,VL0QpB8kHFEC,"T Mumladze, AM Forte, E Cowgill, C Trexler, NA Niemi, LH Kellogg, ...",2013
Surface Temperatures of Exoplanets,"M Weisfeiler, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2015,NA,ILKRHgRFtOwC,"M Weisfeiler, DL Turcotte, LH Kellogg",2015
Sustaining Open Source Communities through Hackathons-An Example from the ASPECT Community,"T Heister, LJ Hwang, W Bangerth, LH Kellogg",AGU Fall Meeting Abstracts,,0,2016,NA,xtoqd-5pKcoC,"T Heister, L Hwang, W Bangerth, LH Kellogg",2016
